VB Year,VB Month,Cut-Off Date (Y-M-D),Movement (days),Wait Time (days)
2025,2,2022-12-01,0,793
2025,1,2022-12-01,16,762
2024,12,2022-11-15,0,747
2024,11,2022-11-15,0,717
2024,10,2022-11-15,714,686
2024,9,2020-12-01,-365,1370
2024,8,2021-12-01,0,974
2024,7,2021-12-01,-356,943
2024,6,2022-11-22,0,557
2024,5,2022-11-22,0,526
2024,4,2022-11-22,75,496
2024,3,2022-09-08,7,540
2024,2,2022-09-01,31,518
2024,1,2022-08-01,243,518
2023,12,2021-12-01,0,730
2023,11,2021-12-01,0,700
2023,10,2021-12-01,579,669
2023,9,2020-05-01,0,1218
2023,8,2020-05-01,-641,1187
2023,7,2022-02-01,-120,515
2023,6,2022-06-01,0,365
2023,5,2022-06-01,334,334
2023,4,C,Current,Current
2023,3,C,Current,Current
2023,2,C,Current,Current
2023,1,C,Current,Current
2022,12,C,Current,Current
2022,11,C,Current,Current
2022,10,C,Current,Current
2022,9,C,Current,Current
2022,8,C,Current,Current
2022,7,C,Current,Current
2022,6,C,Current,Current
2022,5,C,Current,Current
2022,4,C,Current,Current
2022,3,C,Current,Current
2022,2,C,Current,Current
2022,1,C,Current,Current
2021,12,C,Current,Current
2021,11,C,Current,Current
2021,10,C,Current,Current
2021,9,C,Current,Current
2021,8,C,Current,Current
2021,7,C,Current,Current
2021,6,C,Current,Current
2021,5,C,Current,Current
2021,4,C,Current,Current
2021,3,C,Current,Current
2021,2,C,Current,Current
2021,1,C,Current,Current
2020,12,C,Current,Current
2020,11,C,Current,Current
2020,10,C,Current,Current
2020,10,C,Current,Current
2020,9,2019-04-01,0,519
2020,8,2019-04-01,351,488
2020,7,2018-04-15,158,808
2020,6,2017-11-08,311,936
2020,5,2017-01-01,0,1216
2020,4,2017-01-01,0,1186
2020,3,2017-01-01,1155,1155
2020,2,C,Current,Current
2020,1,C,Current,Current
2019,12,C,Current,Current
2019,11,C,Current,Current
2019,10,C,Current,Current
2019,9,2016-07-01,0,1157
2019,8,2016-07-01,1126,1126
2019,7,C,Current,Current
2019,6,C,Current,Current
2019,5,C,Current,Current
2019,4,C,Current,Current
2019,3,C,Current,Current
